Date,Stock,Open,High,Low,Close,Adj Close,Volume
08/10/2021,NVDA,21.10099983,21.20599937,20.77499962,20.83099937,20.79707527,151258000
11/10/2021,NVDA,20.57500076,21.06299973,20.51099968,20.69499969,20.66130066,163388000
12/10/2021,NVDA,20.82799911,21.05699921,20.52799988,20.67099953,20.63734055,162134000
13/10/2021,NVDA,20.91799927,20.98999977,20.71299934,20.93899918,20.9048996,180652000
14/10/2021,NVDA,21.28800011,21.75499916,21.12199974,21.74600029,21.71059227,243589000
15/10/2021,NVDA,21.80999947,21.93099976,21.66200066,21.86199951,21.82640266,226994000
18/10/2021,NVDA,21.74900055,22.29100037,21.6439991,22.22200012,22.1858139,189494000
19/10/2021,NVDA,22.27599907,22.37899971,22.03700066,22.29000092,22.25370026,161473000
20/10/2021,NVDA,22.30500031,22.43300056,21.98200035,22.10300064,22.06700516,146276000
21/10/2021,NVDA,22.09700012,22.71100044,22.08300018,22.69199944,22.65505028,187590000
22/10/2021,NVDA,22.82299995,23.12999916,22.56100082,22.72599983,22.68899536,249384000
25/10/2021,NVDA,22.97299957,23.35499954,22.77000046,23.16600037,23.12828064,230235000
26/10/2021,NVDA,23.98900032,25.25900078,23.92399979,24.71699905,24.67674828,485898000
27/10/2021,NVDA,24.47400093,25.09000015,24.28199959,24.45100021,24.41118431,245990000
28/10/2021,NVDA,24.87800026,24.95000076,24.52300072,24.94099998,24.9003849,234204000
29/10/2021,NVDA,25.00099945,25.70899963,25,25.56699944,25.52536392,292503000
01/11/2021,NVDA,25.64900017,25.8939991,25.22699928,25.82699966,25.78494453,265740000
02/11/2021,NVDA,25.8220005,26.6779995,25.79999924,26.40099907,26.35800934,294112000
03/11/2021,NVDA,26.67000008,26.7840004,26.23500061,26.59799957,26.55468559,239910000
04/11/2021,NVDA,27.22900009,31.36499977,27.11800003,29.8010006,29.75247383,1153631000
05/11/2021,NVDA,30.18700027,31.39999962,29.40999985,29.75200081,29.70355034,851260000
08/11/2021,NVDA,30.14900017,31.10000038,29.90699959,30.80400085,30.75383759,503101000
09/11/2021,NVDA,32.2820015,32.31000137,29.9640007,30.65699959,30.60707855,646746000
10/11/2021,NVDA,29.3560009,30.85000038,28.77799988,29.45899963,29.41102791,636206000
11/11/2021,NVDA,30.46800041,30.59000015,29.77700043,30.38999939,30.34051323,332172000
12/11/2021,NVDA,30.01000023,30.68000031,29.62999916,30.38999939,30.34051323,413054000
15/11/2021,NVDA,30.55200005,30.6439991,29.24699974,30.02499962,29.97610855,384909000
16/11/2021,NVDA,29.75900078,30.38999939,29.70599937,30.20299911,30.15381622,264484000
17/11/2021,NVDA,30.41799927,30.50900078,28.79999924,29.26099968,29.2133503,428508000
18/11/2021,NVDA,32.36700058,32.75999832,31.32099915,31.67499924,31.62341881,781711000
19/11/2021,NVDA,32.24300003,33.08800125,31.90500069,32.98500061,32.93128967,533867000
22/11/2021,NVDA,33.51699829,34.64699936,31.89999962,31.95599937,31.90396118,754335000
23/11/2021,NVDA,31.53499985,32.36000061,30.87999916,31.74600029,31.69430161,532163000
24/11/2021,NVDA,31.46100044,32.85499954,30.9279995,32.67399979,32.6207962,435162000
26/11/2021,NVDA,32.59999847,32.70999908,31.35000038,31.50300026,31.45170212,283069000
29/11/2021,NVDA,32.36600113,33.41199875,32.0359993,33.37599945,33.32164383,454964000
30/11/2021,NVDA,33.16899872,33.35300064,31.86400032,32.67599869,32.62279129,622066000
01/12/2021,NVDA,33.21900177,33.28900146,31.37999916,31.43499947,31.38765526,484368000
02/12/2021,NVDA,31.2140007,32.47800064,31.02499962,32.12599945,32.07761002,472890000
03/12/2021,NVDA,32,32.12900162,30.12999916,30.69300079,30.64677048,544325000
06/12/2021,NVDA,29.87999916,30.24099922,28.03800011,30.03700066,29.99176025,658938000
07/12/2021,NVDA,30.95700073,32.44900131,30.65099907,32.42699814,32.37815475,593053000
08/12/2021,NVDA,31.99900055,32.29000092,31.42099953,31.82600021,31.77806473,475551000
09/12/2021,NVDA,31.73399925,32.20500183,30.4279995,30.48999977,30.44407463,488507000
10/12/2021,NVDA,31.14999962,31.30500031,29.86100006,30.19799995,30.15251541,488825000
13/12/2021,NVDA,30.24900055,30.29400063,28.11599922,28.1609993,28.11858368,598344000
14/12/2021,NVDA,27.6989994,28.6779995,27.25,28.33699989,28.29431915,667035000
15/12/2021,NVDA,28.39999962,30.5,27.83799934,30.45899963,30.41312408,698297000
16/12/2021,NVDA,31.15200043,31.15999985,28.09300041,28.38699913,28.344244,707366000
17/12/2021,NVDA,27.98500061,28.92200089,27.76000023,27.8010006,27.75912476,713758000
20/12/2021,NVDA,27.30500031,28.1439991,27.14500046,27.71899986,27.67725182,461847000
21/12/2021,NVDA,28.37400055,29.12000084,27.40099907,29.07500076,29.03120804,524385000
22/12/2021,NVDA,28.89100075,29.55500031,28.4489994,29.39999962,29.3557148,395184000
23/12/2021,NVDA,29.75499916,30.05900002,29.43099976,29.63999939,29.59535408,343022000
27/12/2021,NVDA,29.65999985,31.08699989,29.63999939,30.94499969,30.89839172,403686000
28/12/2021,NVDA,31.31200027,31.32999992,30.01199913,30.3220005,30.27632904,420591000
29/12/2021,NVDA,30.27300072,30.54800034,29.36599922,30.00099945,29.95581436,343139000
30/12/2021,NVDA,29.82699966,30.45700073,29.54000092,29.58600044,29.54143715,308864000
31/12/2021,NVDA,29.67399979,30.03000069,29.33099937,29.4109993,29.36670494,266530000
03/01/2022,NVDA,29.81500053,30.71100044,29.78499985,30.12100029,30.07563019,391547000
04/01/2022,NVDA,30.27700043,30.46800041,28.34900093,29.29000092,29.24588394,527154000
